Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 0,935.513,1489.3,1,0,9,977,20,50,54,96.7584,90.9724,62.8516,3.38234,2.45919,2.26987, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 0,940.5,1460,1,0,9,189,9,52,53,95.7302,91.6402,63.3757,2.5314,2.49343,2.69395, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 0,925.541,1458.76,1,0,9,324,11,50,53,95.7963,90.9506,62.7438,3.04921,2.65665,2.43559, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 0,1107,1089.5,1,0,2,3468,34,56,47,115.142,111.501,79.122,4.37899,3.69761,3.24773, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 0,724.106,896.123,1,0,7,923,19,48,55,97.5753,91.2134,63.0314,4.32095,3.40642,2.95011, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 0,777.36,693.824,1,0,5,853,19,50,53,103.909,97.5909,68.1055,3.50647,2.7838,2.63938, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 0,791,675.5,1,0,5,543,15,48,53,104.374,97.4751,68.3886,3.57739,2.27551,2.43811, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 0,796.75,638.75,1,0,5,197,9,48,53,107.198,100.142,69.9086,3.4321,2.06638,2.35997, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 0,1390.21,487.91,1,0,2,5011,41,52,49,121.413,116.344,82.076,6.45461,5.01422,3.70679, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 0,1399.94,411.41,1,0,2,3777,37,52,50,118.681,113.71,80.1663,5.01638,3.89666,3.30525, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 1,756,7.5,1,0,3,180,9,44,36,16.1333,14.7889,12.0056,5.97929,5.08383,3.33214, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 1,1409,1747.5,1,0,1,2744,31,48,53,110.84,102.908,72.9096,5.47532,3.95612,3.3349, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 1,1355,1721.5,1,0,1,474,13,48,53,110.677,103.091,73.3439,3.91063,3.15198,2.7118, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 1,1379.5,1598.5,1,0,1,2863,31,48,48,119.312,112.394,81.1432,6.73469,5.01027,3.75367, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 1,1743.91,1572.15,1,0,1,564,14,48,52,132.97,123.915,88.0621,6.15581,4.53351,3.21809, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 1,1157.31,1594.74,1,0,1,4032,37,50,50,105.547,100.186,71.122,5.13275,3.69981,3.31305, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 1,1040.26,1516.56,1,0,1,3365,34,50,50,102.693,97.3789,68.6865,4.93122,3.8916,3.1368, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 1,1564.76,1481.66,1,0,1,4291,37,50,47,134.531,127.564,92.7054,7.14049,5.38746,3.92147, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 1,1800,1472.5,1,0,1,3564,35,48,49,134.25,126.197,91.2545,7.33445,5.49137,3.70823, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 1,1240.82,1403.62,1,0,1,3108,32,52,46,120.111,115.034,82.6155,5.82878,4.33903,3.60652, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 1,1178.2,1386.4,1,0,1,1515,23,50,49,117.826,112.137,79.5571,5.30335,4.0803,3.21066, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 1,1333.64,1398.1,1,0,1,4559,39,50,46,127.671,122.339,88.8318,6.00248,4.68695,3.74914, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 1,978.64,1374.95,1,0,1,2771,31,52,52,103.703,98.7874,69.061,5.39416,4.19564,3.26952, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 1,936,1269.5,1,0,1,2325,28,52,52,103.68,98.7759,68.9802,5.77771,3.99837,3.22238, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 1,1607.91,1208.57,1,0,1,3001,31,50,51,165.811,158.571,122.457,6.99383,5.62845,5.80575, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 1,749.744,1187.08,1,0,1,3108,34,48,59,99.1229,90.8658,61.8967,5.07329,3.66001,3.17419, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 1,1210.5,1178,1,0,1,4470,39,52,47,129.209,124.042,89.0758,7.11076,5.61277,4.40796, "2018-06-18 [4:40:31 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\29May18\106-82.JPG", 1,1604.1,1141.8,1,0,1,295,10,46,63,184.908,174.654,138.949,5.73806,4.46054,3.66314, "2018-06-18 [4:40:31 PM]: no comment"
