"","construct","radius.mean","radius.median","radius.getmode","radius.getquant","radius.max","radius.min","radius.st.err","radius.length"
"1","106-1",0.904529816513761,0.997706422018349,1.03211009174312,1.07798165137615,1.12385321100917,0.160550458715596,0.0394168777739624,32
"2","106-14",0.622301672962763,0.619266055045872,0.573394495412844,0.825688073394495,1.05504587155963,0.137614678899083,0.0220471694518524,68
"3","106-15",0.603514977340555,0.665137614678899,0.825688073394495,0.825688073394495,0.91743119266055,0.137614678899083,0.0245502052713613,83
"4","106-19",0.804837364470392,0.848623853211009,0.986238532110092,0.986238532110092,1.07798165137615,0.298165137614679,0.0271267049387665,55
"5","106-21",0.970575072723204,1.05504587155963,1.10091743119266,1.1697247706422,1.44495412844037,0.137614678899083,0.0421885089704753,41
"6","106-27",0.834097859327217,0.848623853211009,0.940366972477064,0.965596330275229,1.12385321100917,0.55045871559633,0.0263347550214171,30
"7","106-30",0.847219621793672,0.871559633027523,0.940366972477064,1.03211009174312,1.21559633027523,0.36697247706422,0.0260617824277739,49
"8","106-37",0.899323998068566,0.974770642201835,1.03211009174312,1.13073394495413,1.21559633027523,0.252293577981651,0.0369965686546321,38
"9","106-38",0.947739187418086,0.951834862385321,1.10091743119266,1.13761467889908,1.23853211009174,0.435779816513761,0.0346566426143113,28
"10","106-4",0.918780356179169,1.00917431192661,1.1697247706422,1.18807339449541,1.23853211009174,0.298165137614679,0.0740197880428775,17
"11","106-5",0.622542595019659,0.688073394495413,0.894495412844037,0.91743119266055,0.963302752293578,0.137614678899083,0.0472589405417043,35
"12","106-73",0.79024186822352,0.756880733944954,0.940366972477064,1.00229357798165,1.1697247706422,0.389908256880734,0.0406531537816982,22
"13","106-74",0.867389491242702,0.88302752293578,0.871559633027523,1.03211009174312,1.12385321100917,0.298165137614679,0.0238890751403251,44
"14","106-9",0.789199332777314,0.791284403669725,0.779816513761468,1.05504587155963,1.21559633027523,0.206422018348624,0.0369957488442207,44
"15","106-94",1.03757099169943,1.12385321100917,1.19266055045872,1.19266055045872,1.19266055045872,0.412844036697248,0.0419616064335628,21
